SampleID	Rep	JarID	Bd_density	Bd_sd	pinpricks_present	clouds_present	RichLevel	DateStart	Inhibitory	BacterialCopyNumber_mean	BacterialCopyNumber_sd	BdCopyNumber_mean	BdCopyNumber_sd	CV
Non_1_Rep2	Rep2	2	786.332405729344	884.317643954688	TRUE	TRUE	1	2020-08-31	Non	6.135364026	0.105782103	4.822433404	0.070253977	0.029944444
Non_10_Rep2	Rep2	3	0	0	TRUE	TRUE	10	2020-08-31	Non	7.711324128	0.718693356	4.161750496	0.275227962	0.285277778
Inhib_1_Rep2	Rep2	6	0	0	FALSE	FALSE	1	2020-08-31	Inhib	5.60479863	0.056242438	3.883229355	0.115503823	0.283611111
Non_3_Rep2	Rep2	11	0.353270219418359	1.45657042904702	TRUE	FALSE	3	2020-08-31	Non	7.122117176	0.054128479	4.6364288	0.252106379	0.449611111
Inhib_10_Rep2	Rep2	18	0	0	FALSE	FALSE	10	2020-08-31	Inhib	7.350514407	0.025280136	2.699080782	0.121851218	1.276611111
Con_0_Rep2	Rep2	19	1016.50234617083	1430.6496953848	FALSE	FALSE	0	2020-08-31	Con	3.312846348	0.227066985	3.986839711	0.132836932	0.006944444
Inhib_3_Rep2	Rep2	25	2.80261040738565	6.759072741987	FALSE	FALSE	3	2020-08-31	Inhib	6.535548838	0.047155079	2.980886837	0.054377056	0.474944444
Inhib_1_Rep3	Rep3	1	102.470443020038	111.289312641206	FALSE	FALSE	1	2020-09-07	Inhib	6.535636208	0.063396673	4.322518164	0.004070516	1.587944444
Non_1_Rep3	Rep3	6	26.0242394971524	36.5775852283329	TRUE	FALSE	1	2020-09-07	Non	6.137426988	0.04442175	3.387651637	0.117020436	0.016277778
Inhib_10_Rep3	Rep3	12	40.6260752331113	55.5934981267805	FALSE	FALSE	10	2020-09-07	Inhib	7.534021914	0.197973093	2.117748427	0.118044964	0.877611111
Inhib_3_Rep3	Rep3	18	82.9522633971734	82.4093150354794	FALSE	FALSE	3	2020-09-07	Inhib	6.614717445	0.179362315	3.441761585	0.032564128	1.127944444
Non_10_Rep3	Rep3	19	71.6667518460044	81.0347263732131	FALSE	TRUE	10	2020-09-07	Non	7.1476904	0.163365402	3.102123427	0.069198772	0.131944444
Con_0_Rep3	Rep3	20	166.154759866435	111.031965825214	FALSE	FALSE	0	2020-09-07	Con	4.063960057	0.105827175	4.046404509	0.239356845	0.015277778
Non_3_Rep3	Rep3	25	74.4693622533901	78.7233631126268	TRUE	FALSE	3	2020-09-07	Non	7.175637265	0.021560356	3.121335849	0.219110455	0.063277778
Non_10_Rep4	Rep4	2	314.864699850163	372.724497378881	FALSE	TRUE	10	2020-09-07	Non	6.890324589	0.180457275	2.539417835	0.144503318	0.374611111
Inhib_3_Rep4	Rep4	3	103.971841452566	82.160934113638	FALSE	FALSE	3	2020-09-07	Inhib	5.686151489	0.123280013	4.121367897	0.036232466	0.138277778
Con_0_Rep4	Rep4	5	608.166458402685	527.704239036627	TRUE	FALSE	0	2020-09-07	Con	2.198535182	0.029957221	3.96273198	0.085480836	0.023944444
Non_3_Rep4	Rep4	8	93.6872621897488	79.2127178092587	TRUE	TRUE	3	2020-09-07	Non	7.146358007	0.084318903	2.932226442	0.264388937	0.037611111
Non_1_Rep4	Rep4	9	83.3276130053054	73.2871111129748	TRUE	TRUE	1	2020-09-07	Non	6.625585513	0.026989258	3.265727294	0.152178805	0.057944444
Inhib_1_Rep4	Rep4	11	5.63024412198009	18.2776375093688	FALSE	FALSE	1	2020-09-07	Inhib	5.50436954	0.220798261	2.999302316	0.088893351	0.023277778
Inhib_10_Rep4	Rep4	17	269.050599109022	807.881356631032	FALSE	TRUE	10	2020-09-07	Inhib	6.721429986	0.08889062	1.197139044	0.340906206	0.451944444
Inhib_3_Rep5	Rep5	1	12.0111874602242	43.3069522670484	FALSE	TRUE	3	2020-09-14	Inhib	6.46313214	0.194571928	3.208490244	0.079706269	0.455944444
Non_10_Rep5	Rep5	4	2.57382588433376	9.63037463238738	FALSE	FALSE	10	2020-09-14	Non	7.592790765	0.018745099	3.457485351	0.050559165	0.009944444
Non_1_Rep5	Rep5	8	228.67453049273	274.702158798079	FALSE	TRUE	1	2020-09-14	Non	6.172933935	0.115092598	3.244884445	0.512763034	0.015277778
Con_0_Rep5	Rep5	12	14.1560423638357	23.8609685579172	FALSE	FALSE	0	2020-09-14	Con	4.382744933	0.9177831	3.490245293	0.101125157	0
Non_3_Rep5	Rep5	14	78.8560568040806	136.94027975632	FALSE	FALSE	3	2020-09-14	Non	5.35972065	0.01623384	4.344740092	0.033387343	0.028277778
Inhib_10_Rep5	Rep5	17	0	0	FALSE	FALSE	10	2020-09-14	Inhib	6.923021045	0.026962835	2.45057848	0.122040191	1.121611111
Inhib_1_Rep5	Rep5	18	96.4898725971344	77.1254353287378	FALSE	FALSE	1	2020-09-14	Inhib	6.60899106	0.185368199	3.422254211	0.198377745	0.039611111
Inhib_10_Rep6	Rep6	7	0	0	FALSE	FALSE	10	2020-09-14	Inhib	7.700301811	0.141629635	2.072833075	0.958672899	0.359944444
Non_10_Rep6	Rep6	16	0	0	FALSE	FALSE	10	2020-09-14	Non	7.023117615	0.045043188	2.567465592	0.211087659	0.219277778
Inhib_3_Rep6	Rep6	19	0	0	FALSE	FALSE	3	2020-09-14	Inhib	6.432564174	0.15087084	2.634187326	0.359674222	0.198944444
Non_3_Rep6	Rep6	20	0	0	FALSE	FALSE	3	2020-09-14	Non	6.854812759	0.156154226	NA	NA	0.177944444
Con_0_Rep6	Rep6	22	244.513459011707	395.790803296765	FALSE	TRUE	0	2020-09-14	Con	4.000467443	0.044241619	4.508590808	0.130549564	0.022611111
Inhib_1_Rep6	Rep6	23	0	0	FALSE	FALSE	1	2020-09-14	Inhib	3.800143249	0.163891274	1.929589572	0.07155346	0.023611111
Non_1_Rep6	Rep6	27	0	0	FALSE	FALSE	1	2020-09-14	Non	6.686845307	0.11362369	3.711223868	0.172159128	0.021277778
Inhib_3_Rep7	Rep7	13	0	0	FALSE	FALSE	3	2020-09-19	Inhib	6.954931171	0.088208602	2.547020713	0.038135364	0.223944444
Inhib_1_Rep7	Rep7	15	12.5831487678539	35.9787076687367	TRUE	FALSE	1	2020-09-19	Inhib	6.110266454	0.24355764	3.790767824	0.136375961	0.022277778
Con_0_Rep7	Rep7	17	221.456268797884	336.040563027516	TRUE	TRUE	0	2020-09-19	Con	4.170092615	0.445213195	3.905766337	0.078713678	0.022611111
Inhib_10_Rep7	Rep7	19	0	0	FALSE	FALSE	10	2020-09-19	Inhib	7.380737776	0.010744397	2.133208677	0.046017997	0.954611111
Non_3_Rep7	Rep7	22	0	0	TRUE	FALSE	3	2020-09-19	Non	7.342163111	0.023351975	2.20667161	0.061911594	0.061944444
Non_10_Rep7	Rep7	23	0	0	FALSE	FALSE	10	2020-09-19	Non	5.81837905	0.020153414	3.609819845	0.225434058	0
Non_1_Rep7	Rep7	27	0	0	FALSE	FALSE	1	2020-09-19	Non	6.729448761	0.067511945	2.51209057	0.142592876	0.024944444
Non_3_Rep8	Rep8	1	0	0	FALSE	FALSE	3	2020-09-19	Non	7.356169307	0.04145995	2.562069181	0.012816301	0.119611111
Non_10_Rep8	Rep8	2	4.00372915340807	12.5701429258588	FALSE	FALSE	10	2020-09-19	Non	6.770540197	0.234420742	3.075306847	0.175197804	0.148611111
Inhib_1_Rep8	Rep8	3	0	0	FALSE	FALSE	1	2020-09-19	Inhib	6.794540761	0.159565935	1.421588121	0.030960891	0.968611111
Non_1_Rep8	Rep8	6	2.40223749204484	6.7336147504275	TRUE	FALSE	1	2020-09-19	Non	7.08490163	0.034228057	2.990616472	0.169811334	0.046277778
Con_0_Rep8	Rep8	11	454.212536324794	687.9171340357	FALSE	FALSE	0	2020-09-19	Con	4.153821991	0.000800349	4.860754992	0.205993225	0.015944444
Inhib_3_Rep8	Rep8	16	0	0	FALSE	FALSE	3	2020-09-19	Inhib	7.766575743	0.156209156	2.64316195	0.113978134	0.667277778
Inhib_10_Rep8	Rep8	24	1.12604882439602	4.50419529758408	FALSE	FALSE	10	2020-09-19	Inhib	7.187056278	0.009502721	2.668874656	0.00711387	0.879277778
Inhib_3_Rep9	Rep9	7	0	0	FALSE	FALSE	3	2020-09-28	Inhib	7.536826111	0.006248366	3.122615276	0.11375871	0.657277778
Non_1_Rep9	Rep9	12	221.406222183466	359.031097167646	TRUE	FALSE	1	2020-09-28	Non	6.726833382	0.104108327	4.364531971	0.09204066	0.014944444
Inhib_10_Rep9	Rep9	13	0	0	FALSE	FALSE	10	2020-09-28	Inhib	7.383565226	0.018834304	2.012519933	0.180361826	0.649277778
Inhib_1_Rep9	Rep9	14	0	0	FALSE	FALSE	1	2020-09-28	Inhib	6.754546333	0.070263592	3.084152887	0.170762244	0.341944444
Con_0_Rep9	Rep9	15	498.019420804481	934.48856300457	TRUE	TRUE	0	2020-09-28	Con	2.568671365	0.070636797	4.914773019	0.323698596	0.018611111
Non_10_Rep9	Rep9	20	0	0	FALSE	FALSE	10	2020-09-28	Non	8.145073534	0.162457523	2.975722027	0.500772972	1.260611111
Non_3_Rep9	Rep9	26	0	0	FALSE	FALSE	3	2020-09-28	Non	7.387113479	0.107068938	3.360550313	0.163422124	1.062277778
