time_original,well,OD,isolate,well,hh,mm,ss,time_h
1.05:45:00,A1,0.3286,ATD 4B4,A1,1.05,45,0,1.8
1.06:00:00,A1,0.3307,ATD 4B4,A1,1.06,0,0,1.06
1.06:15:00,A1,0.3328,ATD 4B4,A1,1.06,15,0,1.31
1.06:30:00,A1,0.3344,ATD 4B4,A1,1.06,30,0,1.56
1.06:45:00,A1,0.3362,ATD 4B4,A1,1.06,45,0,1.81
1.07:00:00,A1,0.339,ATD 4B4,A1,1.07,0,0,1.07
1.07:15:00,A1,0.3419,ATD 4B4,A1,1.07,15,0,1.32
1.07:30:00,A1,0.3457,ATD 4B4,A1,1.07,30,0,1.57
1.07:45:00,A1,0.3488,ATD 4B4,A1,1.07,45,0,1.82
1.08:00:00,A1,0.3514,ATD 4B4,A1,1.08,0,0,1.08
1.08:15:00,A1,0.3549,ATD 4B4,A1,1.08,15,0,1.33
1.08:30:00,A1,0.3574,ATD 4B4,A1,1.08,30,0,1.58
1.08:45:00,A1,0.3588,ATD 4B4,A1,1.08,45,0,1.83
1.09:00:00,A1,0.3601,ATD 4B4,A1,1.09,0,0,1.09
1.09:15:00,A1,0.3605,ATD 4B4,A1,1.09,15,0,1.34
1.09:30:00,A1,0.363,ATD 4B4,A1,1.09,30,0,1.59
1.09:45:00,A1,0.3635,ATD 4B4,A1,1.09,45,0,1.84
1.10:00:00,A1,0.364,ATD 4B4,A1,1.1,0,0,1.1
1.10:15:00,A1,0.3648,ATD 4B4,A1,1.1,15,0,1.35
1.10:30:00,A1,0.3656,ATD 4B4,A1,1.1,30,0,1.6
1.10:45:00,A1,0.3669,ATD 4B4,A1,1.1,45,0,1.85
1.11:00:00,A1,0.3677,ATD 4B4,A1,1.11,0,0,1.11
1.11:15:00,A1,0.3681,ATD 4B4,A1,1.11,15,0,1.36
1.11:30:00,A1,0.3698,ATD 4B4,A1,1.11,30,0,1.61
1.11:45:00,A1,0.3699,ATD 4B4,A1,1.11,45,0,1.86
1.12:00:00,A1,0.3698,ATD 4B4,A1,1.12,0,0,1.12
